Team,Name,BATTLEBOX_SCORE,BINGO_SCORE,DROPPER_SCORE,PARKOUR_SCORE,SKYWARS_SCORE,SURVIVAL_SCORE,TGTTOS_SCORE,TNTRUN_SCORE,BATTLEBOX_PCT,BINGO_PCT,DROPPER_PCT,PARKOUR_PCT,SKYWARS_PCT,SURVIVAL_PCT,TGTTOS_PCT,TNTRUN_PCT,SUM_PCT,SCORE,TEAM_AVG,DIFF,DEVSCORE,FINAL_SCORE
losers queue,Lord_The_Kaizer,423.0,268.0,237.0,246.0,52.0,0.0,195.0,216.0,0.05280239670453127,0.03994634073632434,0.03449781659388646,0.03152027676340573,0.009103641456582634,0.0,0.03071349818869113,0.03269012485811578,0.23127409530153734,6.047310946078344,7.0804743653766185,-1.0331634192982744,5.01414752678007,4.800822948783471
losers queue,_Deoxys,444.0,269.0,242.0,329.5,464.0,112.0,298.0,381.5,0.05542379228560729,0.04009539424653451,0.03522561863173217,0.04221923249407393,0.08123249299719888,0.018871103622577927,0.04693652543707671,0.0577374195989406,0.37774157931374197,9.877114790545797,7.0804743653766185,2.796640425169178,12.673755215714975,9.83836270644807
rawr,DeepThrt,70.0,65.0,47.5,61.5,90.0,349.0,43.0,117.0,0.008737985270253401,0.009688478163660754,0.006914119359534207,0.007880069190851432,0.015756302521008403,0.05880370682392586,0.006772720113403686,0.017707150964812714,0.13226053240745045,3.458323182797066,8.563023713005277,-5.104700530208211,-1.646377347411145,0.4203559296797977
rawr,TYLERISCLANCY,154.0,130.0,110.0,138.5,114.0,429.0,181.0,153.0,0.019223567594557484,0.019376956327321507,0.01601164483260553,0.017746172080210135,0.01995798319327731,0.07228306655433867,0.028508426523862027,0.02315550510783201,0.21626332221400466,5.654812113543807,8.563023713005277,-2.9082115994614703,2.7466005140823366,3.309511814749814
rawr,earthside,154.0,406.0,309.5,537.5,598.0,1309.0,332.0,414.5,0.019223567594557484,0.06051572514532717,0.0450509461426492,0.06887052341597796,0.10469187675070028,0.22055602358887952,0.05229169948023311,0.06273174423004162,0.6339321063483664,16.57593584267496,8.563023713005277,8.012912129669681,24.588847972344638,17.67463264550676
snail fans,2Smokey,127.0,260.0,251.0,251.0,136.0,184.0,214.0,252.0,0.015853201847459742,0.038753912654643015,0.036535662299854436,0.032160932795182263,0.023809523809523808,0.031002527379949452,0.03370609544810206,0.038138479001135074,0.24996033523584985,6.535915184907954,6.246115025362826,0.28980015954512783,6.825715344453082,5.99224753289327
snail fans,LegacyMrDen,190.0,171.0,231.5,253.5,212.0,128.0,260.0,220.5,0.023717388590687803,0.02548815024593829,0.03369723435225619,0.032481260811070535,0.03711484593837535,0.02156697556866049,0.04095133091825484,0.03337116912599319,0.2483883555512367,6.494811359849727,6.246115025362826,0.2486963344869011,6.743507694336628,5.93818153856773
snail fans,ShutdownSoCool,148.0,81.0,207.0,328.5,36.0,160.0,162.0,324.5,0.018474597428535765,0.012073334327023401,0.030131004366812226,0.042091101287718626,0.0063025210084033615,0.02695871946082561,0.025515829264451093,0.049110858872493376,0.21065796601626346,5.508244328478762,6.246115025362826,-0.7378706968840643,4.770373631594698,4.640498720866279
snail fans,snailberry,127.0,325.0,299.0,301.5,72.0,224.0,121.0,202.5,0.015853201847459742,0.048442390818303774,0.043522561863173215,0.038631558716125315,0.012605042016806723,0.037742207245155854,0.019058119388880138,0.03064699205448354,0.24650207395038828,6.445489228214862,6.246115025362826,0.19937420285203622,6.644863431066899,5.873305579084237
teal team 5,Minearhero,265.0,366.0,167.5,106.0,400.0,96.0,169.0,63.0,0.033079515665959305,0.054553584736920555,0.02438136826783115,0.01358190787366263,0.0700280112044818,0.016175231676495365,0.02661836509686565,0.009534619750283769,0.24795260427250024,6.483417418499595,6.618182018172487,-0.13476459967289145,6.348652818826704,5.6784949835027225
teal team 5,Pope_Dog,349.0,349.0,286.0,409.0,328.0,120.0,266.0,323.5,0.04356509799026339,0.052019675063347745,0.04163027656477438,0.05240566339932091,0.05742296918767507,0.020219039595619208,0.04189636163175303,0.04895951570185395,0.3581185991346077,9.36401684640623,6.618182018172487,2.7458348282337433,12.109851674639973,9.467496909788949
teal team 5,cardsandhuskers,349.0,179.0,287.5,131.5,252.0,80.0,248.0,270.0,0.04356509799026339,0.026680578327619615,0.041848617176128096,0.01684925363572298,0.04411764705882353,0.013479359730412805,0.03906126949125847,0.04086265607264472,0.2664644794828736,6.967462401774395,6.618182018172487,0.3492803836019087,7.316742785376304,6.315184471207796
teal team 5,j_scotty_,265.0,0.0,128.0,91.0,116.0,88.0,146.0,121.5,0.033079515665959305,0.0,0.018631732168850074,0.011659939778333014,0.02030812324929972,0.014827295703454086,0.02299574736178926,0.018388195232690124,0.13989054916037558,3.657831406009727,6.618182018172487,-2.9603506121627596,0.6974807938469674,1.961855057627359
team,Lightbulb1622,328.0,171.0,187.5,188.5,0.0,0.0,147.0,31.5,0.04094370240918737,0.02548815024593829,0.027292576419213975,0.024152732397975527,0.0,0.0,0.023153252480705624,0.004767309875141884,0.14579772382816267,3.812291082880715,6.3666880637358005,-2.5543969808550857,1.2578941020256291,2.3304254120532937
team,LittleBubble64,328.0,73.0,224.0,44.0,154.0,208.0,101.0,22.5,0.04094370240918737,0.010880906245342077,0.03260553129548763,0.005637773079633545,0.02696078431372549,0.03504633529907329,0.015908017010552843,0.00340522133938706,0.17138827099238932,4.481427830688948,6.3666880637358005,-1.8852602330468526,2.5961675976420953,3.210575703632284
