Team,Name,BATTLEBOX_SCORE,BUILDBATTLE_SCORE,DROPPER_SCORE,SKYWARS_SCORE,SURVIVALGAMES_SCORE,TAG_SCORE,TGTTOS_SCORE,TNTRUN_SCORE,BATTLEBOX_PCT,BUILDBATTLE_PCT,DROPPER_PCT,SKYWARS_PCT,SURVIVALGAMES_PCT,TAG_PCT,TGTTOS_PCT,TNTRUN_PCT,SUM_PCT,SCORE,TEAM_AVG,DIFF,DEVSCORE,FINAL_SCORE
Girth Control,nxva_ii,355.0,196.0,230.0,246.75,96.0,635.0,315.0,309.0,0.04080459770114943,0.027876546721661215,0.031211833355950604,0.03244149355771759,0.01174886794761963,0.04930507026943086,0.04633715798764342,0.039163498098859315,0.2788890656400321,7.779958175175916,5.83306138988477,1.9468967852911465,9.726854960467062,7.292296686220307
Team 7,Mztt,425.0,198.5,330.0,844.0,580.0,446.0,322.5,480.0,0.04885057471264368,0.028232114919641588,0.04478219568462478,0.11096502760978175,0.07098274385020194,0.034630017858529386,0.047440423654015886,0.060836501901140684,0.4467196001905797,12.46180016967702,9.1172995393854,3.34450063029162,15.80630079996864,12.572557684676669
Team 7,Samyntha,285.0,198.5,336.0,363.0,283.0,426.0,328.5,309.0,0.032758620689655175,0.028232114919641588,0.04559641742434523,0.04772547988430187,0.0346346836372537,0.033077102259492196,0.04832303618711386,0.039163498098859315,0.30951095310066296,8.634193901994083,9.1172995393854,-0.48310563739131673,8.151088264602766,5.923675327218144
Team 7,bubbaheaton,365.0,198.5,54.0,474.0,275.0,376.0,202.5,204.0,0.04195402298850575,0.028232114919641588,0.0073279956574840545,0.062319221667104914,0.0336556113082854,0.029194813261899214,0.029788172992056487,0.02585551330798479,0.2583274661029622,7.206366722079671,9.1172995393854,-1.9109328173057287,5.295433904773942,3.4434163135919573
Team 7,iheartburgers,405.0,198.5,361.0,363.0,224.0,279.0,246.0,284.0,0.04655172413793104,0.028232114919641588,0.048989008006513776,0.04772547988430187,0.02741402521111247,0.02166317260656883,0.03618711385701677,0.035994930291508236,0.2927575689145946,8.166837363790828,9.1172995393854,-0.9504621755945717,7.216375188196256,5.111836693830287
alquesadia,Lord_The_Kaizer,240.0,166.0,213.0,381.0,8.0,284.0,237.0,164.0,0.027586206896551724,0.023609728345896742,0.028904871760075994,0.0500920326058375,0.0009790723289683026,0.02205140150632813,0.03486319505736982,0.020785804816223066,0.20887231331725126,5.826753579711506,5.496297678864017,0.33045590084748966,6.157209480558996,4.191905580931686
alquesadia,Minearhero,200.0,166.0,148.0,196.0,56.0,222.0,141.0,160.0,0.022988505747126436,0.023609728345896742,0.02008413624643778,0.02576912963449908,0.006853506302778117,0.017237363149312835,0.020741394527802295,0.020278833967046894,0.15756259792090016,4.395405101248637,5.496297678864017,-1.1008925776153795,3.2945125236332578,1.7055297678865358
alquesadia,dhaan007,200.0,166.0,14.0,213.0,160.0,136.0,262.5,252.0,0.022988505747126436,0.023609728345896742,0.0018998507260143845,0.028004207204838285,0.01958144657936605,0.010559826073452908,0.038614298323036186,0.03193916349809886,0.17719702649782984,4.9431319645138885,5.496297678864017,-0.5531657143501283,4.38996625016376,2.656978590775781
alquesadia,foxxytwelve,240.0,166.0,322.0,347.0,307.0,222.0,117.0,252.0,0.027586206896551724,0.023609728345896742,0.043696566698330844,0.04562187746515908,0.03757190062415861,0.017237363149312835,0.017210944395410415,0.03193916349809886,0.2444737510729191,6.819900069982034,5.496297678864017,1.3236023911180173,8.143502461100052,5.917086729600073
better team,Dellphoenix,300.0,168.5,80.0,193.0,315.0,204.0,0.0,56.0,0.034482758620689655,0.023965296543877114,0.01085628986293934,0.02537470418090981,0.038550972953126914,0.01583973911017936,0.0,0.007097591888466414,0.15616735316018862,4.3564830092062055,7.155621937857676,-2.7991389286514705,1.557344080554735,0.19672402803826244
