Team,Name,BATTLEBOX_SCORE,BUILDBATTLE_SCORE,DROPPER_SCORE,PARKOUR_SCORE,SKYWARS_SCORE,SURVIVALGAMES_SCORE,TAG_SCORE,TNTRUN_SCORE,BATTLEBOX_PCT,BUILDBATTLE_PCT,DROPPER_PCT,PARKOUR_PCT,SKYWARS_PCT,SURVIVALGAMES_PCT,TAG_PCT,TNTRUN_PCT,SUM_PCT,SCORE,TEAM_AVG,DIFF,DEVSCORE,FINAL_SCORE
Mulch Enjoyers,candleflint,309.0,193.5,179.0,244.0,120.0,102.0,194.0,239.5,0.033118971061093246,0.029696132596685083,0.02258390108503659,0.0337669526709106,0.019339242546333603,0.016126482213438736,0.022888154789995282,0.03572760498247184,0.21324744194596498,5.131024337261042,6.297166706371617,-1.1661423691105748,3.9648819681504675,3.368445067018951
Mulch Enjoyers,cardsandhuskers,324.0,193.5,249.0,353.0,456.0,452.0,282.0,259.0,0.03472668810289389,0.029696132596685083,0.03141559424678274,0.04885137005258788,0.07348912167606769,0.07146245059288538,0.03327041057102407,0.03863653315432237,0.3615483009932491,8.699345298415402,6.297166706371617,2.402178592043785,11.101523890459188,8.639199107638103
Teal Team Six,Minearhero,195.0,176.0,211.0,30.5,180.0,90.0,207.0,171.5,0.02090032154340836,0.027010435850214856,0.02662124653040626,0.004220869083863825,0.029008863819500404,0.014229249011857707,0.024421897121283623,0.025583650331916164,0.1719965332924512,4.138471206007332,4.827742578495742,-0.6892713724884096,3.4491998335189225,2.9875889550865433
Teal Team Six,Pope_Dog,345.0,176.0,185.0,240.0,294.0,215.0,219.0,265.0,0.03697749196141479,0.027010435850214856,0.023340903356043403,0.03321339606974813,0.047381144238517324,0.03399209486166008,0.025837659273242095,0.03953158797643022,0.2672847135872709,6.431234803471387,4.827742578495742,1.6034922249756454,8.034727028447033,6.374221807644957
Teal Team Six,foxxytwelve,195.0,176.0,226.0,124.0,216.0,162.0,180.0,279.0,0.02090032154340836,0.027010435850214856,0.02851375220792329,0.017160254636036536,0.03481063658340049,0.025612648221343872,0.021236432279377066,0.04162004922801522,0.21686453054971971,5.2180564230226985,4.827742578495742,0.3903138445269567,5.608370267549655,4.582240391076103
Teal Team Six,zanerator,240.0,176.0,65.0,52.5,135.0,132.0,138.0,129.5,0.02572347266881029,0.027010435850214856,0.00820085793590714,0.0072654303902574035,0.021756647864625302,0.020869565217391306,0.016281264747522416,0.019318266577161184,0.1464259412518899,3.523207881481548,4.827742578495742,-1.3045346970141938,2.218673184467354,2.078785714264854
The Capybara Crew,DJ_Slime1,147.0,148.5,202.0,186.5,263.0,30.0,184.0,157.5,0.015755627009646302,0.022790055248618785,0.025485743123896037,0.02580957652920011,0.04238517324738114,0.0047430830039525695,0.021708352996696555,0.023495189080331172,0.18217280023972265,4.383326069880193,4.670660061767231,-0.28733399188703856,4.095992077993154,3.4652762025505215
The Capybara Crew,F3V3X,132.0,148.5,304.0,97.0,245.0,198.0,175.0,77.0,0.01414790996784566,0.022790055248618785,0.03835478173101186,0.01342374757818987,0.0394842868654311,0.03130434782608696,0.020646531382727703,0.01148653688371746,0.1916381974836294,4.611076439015385,4.670660061767231,-0.05958362275184648,4.551492816263538,3.801685452570306
The Capybara Crew,SeasonPower,132.0,148.5,288.0,91.5,212.0,204.0,111.0,150.5,0.01414790996784566,0.022790055248618785,0.036336109008327025,0.012662607251591474,0.03416599516518937,0.03225296442687747,0.013095799905615857,0.022450958454538674,0.18790239942860432,4.521188041928384,4.670660061767231,-0.14947201983884728,4.371716022089537,3.6689116249609706
The Capybara Crew,bubbaheaton,237.0,148.5,252.0,136.5,248.0,186.0,102.0,231.0,0.02540192926045016,0.022790055248618785,0.03179409538228615,0.01889011901466925,0.039967767929089446,0.029407114624505928,0.012033978291647004,0.034459610651152384,0.21474467040241912,5.167049696244962,4.670660061767231,0.49638963447773055,5.663439330722692,4.622911548518523
The Gooners,Kodakiin,78.0,173.5,16.0,31.5,111.0,66.0,137.0,115.5,0.008360128617363344,0.026626764886433396,0.0020186727226848347,0.004359258234154442,0.017888799355358583,0.010434782608695653,0.016163284568192545,0.017229805325576192,0.10308149631845899,2.480281411606896,3.7985950548840854,-1.3183136432771896,1.1619677683297063,1.298357832008172
